Id	Code	Level	Time	Venue	VenueId	Title	Authors	pubURL	pdf	video	github	bib	doi	image	pages	Rate	ResearchArea	Application
C21	S	3	9-Dec-19	The 2nd International Conference on Artificial Intelligence & Virtual Reality (AIVR 2019)	AIVR 2019	Creating Virtual Reality and Augmented Reality development in classroom: Is it a hype?	"Vinh Nguyen,Kwanghee Jung,Tommy Dang"	http://aivr.science.uu.nl/index2019.html	https://ieeexplore.ieee.org/document/8942272				https://ieeexplore.ieee.org/document/8942272	images/papers/VRClassHype.png	6		VR	E
C20	S	3	9-Dec-19	The 2nd International Conference on Artificial Intelligence & Virtual Reality (AIVR 2019)	AIVR 2019	VRescuer: A Virtual Reality Application for Disaster Response Training	"Vinh Nguyen,Kwanghee Jung,Tommy Dang"	http://aivr.science.uu.nl/index2019.html	https://easychair.org/publications/preprint_download/WDqv				https://ieeexplore.ieee.org/document/8942307/versions	images/papers/vrescuer.gif	4		VR	
C19	S	3	9-Dec-19	The 2nd International Conference on Artificial Intelligence & Virtual Reality (AIVR 2019)	AIVR 2019	DroneVR: A Web Virtual Reality Simulator for Drone Operator	"Vinh Nguyen,Kwanghee Jung,Tommy Dang"	http://aivr.science.uu.nl/index2019.html	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8942250				https://ieeexplore.ieee.org/document/8942250	images/papers/dronevr.gif	6		VR	
J9	J	1	16-Dec-19	Journal of Smart and Sustainable Manufacturing Systems	Impact factor: 2.217	Visualization and Explainable Machine Learning for Efficient Manufacturing and System Operations	"Dy Le,Vung Pham,Huyen Nguyen,Tommy Dang"	https://www.astm.org/DIGITAL_LIBRARY/JOURNALS/SSMS/PAGES/SSMS20190029.htm	https://www.astm.org/DIGITAL_LIBRARY/JOURNALS/SSMS/PAGES/SSMS20190029.htm			https://scholar.googleusercontent.com/scholar.bib?q=info:By1U6W4nl0EJ:scholar.google.com/&output=citation&scisdr=CgXE0E6MEOvqqeeKKc4:AAGBfm0AAAAAXg2PMc6MU2DDxw5WGsLQtOAoqPwW4uYI&scisig=AAGBfm0AAAAAXg2PMWFyxcWmp33ZLiz1pK6E9TdZedXK&scisf=4&ct=citation&cd=-1&hl=en	https://www.astm.org/DIGITAL_LIBRARY/JOURNALS/SSMS/PAGES/SSMS20190029.htm	images/papers/Airplane1.png	vr		EML	
W18	W	3	20-Nov-19	"The 3rd Industry/University Joint International Workshop on Data-Center Automation, Analytics, and Control (DAAC)"	DAAC 2019	CloudTraceViz: A Visualization Tool for Tracing Dynamic Usage of Cloud Computing Resources	"Vinh Nguyen, Tommy Dang"	https://sc19.supercomputing.org/proceedings/workshops/workshop_sessions.html#sess133	https://sc19.supercomputing.org/presentation/?id=ws_daac102&amp;sess=sess133			https://www.semanticscholar.org/paper/CloudTraceViz%3A-A-Visualization-Tool-for-Tracing-of-Nguyen-Dang/c360a5162952ac6dd5ab51ef83aee62065688235	https://ieeexplore.ieee.org/document/8948826	images/papers/CloudTrace.png	vr		BDV	H
W17	W	3	10-Nov-19	"The 3rd Industry/University Joint International Workshop on Data-Center Automation, Analytics, and Control (DAAC)"	DAAC 2019	HiperJobViz: Visualizing Resource Allocations in High-Performance Computing Center via Multivariate Health-Status Data	"Ngan Nguyen,Yong Chen,Jon Hass,Tommy Dang"	https://sc19.supercomputing.org/proceedings/workshops/workshop_sessions.html#sess133	https://www.researchgate.net/publication/338443238_HiperJobViz_Visualizing_Resource_Allocations_in_High-Performance_Computing_Center_via_Multivariate_Health-Status_Data		https://idatavisualizationlab.github.io/HPCC/HiperJobViz20191126/index.html	https://ieeexplore.ieee.org/document/8948738	https://ieeexplore.ieee.org/document/8948738	images/papers/HiperTimeRadar.png	vr		BDV	H
J8	J	3	12-Dec-19	Geoderma	Impact Factor: 4.336	Enhanced soil profile visualization using portable X-ray fluorescence (PXRF) spectrometry	"Fujun Sun, Noura Bakr, Tommy Dang, Vung Pham, David Weindorf, Zhuodong Jiang"	https://www.sciencedirect.com/journal/geoderma	https://www.sciencedirect.com/science/article/pii/S0016706119308419/pdfft?isDTMRedir=true&download=true			https://www.sciencedirect.com/science/article/pii/S0016706119308419	https://doi.org/10.1016/j.geoderma.2019.113997	images/papers/geodermaSoil.png	vr		BDV	E
J7	J	3	1-Aug-19	Journal of Vision	Impact factor: 3.376	Multisensory Integration of Visual and Auditory Signals during Second Language Learning	"Guangsheng Liang,Vinh Nguyen,Kimi Nakatsukasa,Aaron Braver,Tommy Dang,Miranda Scolari"	https://jov.arvojournals.org/	https://jov.arvojournals.org/article.aspx?articleid=2751034			https://doi.org/10.1167/19.10.274	https://doi.org/10.1167/19.10.274	images/papers/Avatar.png	vr		VR	L
J6	J	3	1-Aug-19	International Journal of Semantic Computing	Impact factor: 0.69	Learners' Technological Acceptance of VR Content Development: A Sequential 3-Part Use Case Study of Diverse Post-Secondary Students	"Vinh Nguyen,Rebecca Hite, Tommy Dang"	https://www.worldscientific.com/worldscinet/ijsc	https://myweb.ttu.edu/vinhtngu/data/S1793351X19400154.pdf			https://www.worldscientific.com/action/showCitFormats?doi=10.1142%2FS1793351X19400154	https://www.worldscientific.com/doi/abs/10.1142/S1793351X19400154	images/papers/VRJournal.png	vr		VR	L
C18	C	3	20-Oct-19	IEEE Conference on Visual Analytics Science and Technology (VAST)	VAST 2019	EQSA: Earthquake Situational Analytics from Social Media	"Huyen Nguyen,Tommy Dang"	https://ieeexplore.ieee.org/document/8986947	https://ieeexplore.ieee.org/document/8986947	https://www.youtube.com/watch?v=CxqILM1OKos	https://github.com/iDataVisualizationLab/VAST2019mc3	https://ieeexplore.ieee.org/document/8986947	https://ieeexplore.ieee.org/document/8986947	images/papers/EQSA.png			IVA	S
